Jours,Taux,Banque
18/10/2022,$123.00 ,UNIBANK
18/10/2022,$119.00 ,Sogebank
18/10/2022,$121.00 ,BUH
18/10/2022,$118.00 ,SOGEBEL
18/10/2022,$122.00 ,CAPITALBANK
18/10/2022,$118.00 ,BNC
18/10/2022,$122.25 ,SI
18/10/2022,$120.68 ,BRH
19/10/2022,$123.00 ,UNIBANK
19/10/2022,$119.00 ,Sogebank
19/10/2022,$121.00 ,BUH
19/10/2022,$118.00 ,SOGEBEL
19/10/2022,$122.00 ,CAPITALBANK
19/10/2022,$118.00 ,BNC
19/10/2022,$123.25 ,SI
19/10/2022,$122.21 ,BRH
20/10/2022,$123.00 ,UNIBANK
20/10/2022,$119.00 ,Sogebank
20/10/2022,$121.00 ,BUH
20/10/2022,$118.00 ,SOGEBEL
20/10/2022,$122.00 ,CAPITALBANK
20/10/2022,$118.00 ,BNC
20/10/2022,$123.25 ,SI
20/10/2022,$123.42 ,BRH
21/10/2022,$123.00 ,UNIBANK
21/10/2022,$119.00 ,Sogebank
21/10/2022,$121.00 ,BUH
21/10/2022,$118.00 ,SOGEBEL
21/10/2022,$122.00 ,CAPITALBANK
21/10/2022,$118.00 ,BNC
21/10/2022,$123.25 ,SI
21/10/2022,$122.96 ,BRH
22/10/2022,$123.00 ,UNIBANK
22/10/2022,$119.00 ,Sogebank
22/10/2022,$121.00 ,BUH
22/10/2022,$118.00 ,SOGEBEL
22/10/2022,$122.00 ,CAPITALBANK
22/10/2022,$118.00 ,BNC
22/10/2022,$123.60 ,SI
22/10/2022,$122.96 ,BRH
23/10/2022,$123.00 ,UNIBANK
23/10/2022,$119.00 ,Sogebank
23/10/2022,$121.00 ,BUH
23/10/2022,$118.00 ,SOGEBEL
23/10/2022,$122.00 ,CAPITALBANK
23/10/2022,$118.00 ,BNC
23/10/2022,$123.60 ,SI
23/10/2022,$122.96 ,BRH
24/10/2022,$123.00 ,UNIBANK
24/10/2022,$119.00 ,Sogebank
24/10/2022,$121.00 ,BUH
24/10/2022,$118.00 ,SOGEBEL
24/10/2022,$122.00 ,CAPITALBANK
24/10/2022,$118.00 ,BNC
24/10/2022,$123.75 ,SI
24/10/2022,$122.96 ,BRH
25/10/2022,$123.00 ,UNIBANK
25/10/2022,$119.00 ,Sogebank
25/10/2022,$121.00 ,BUH
25/10/2022,$118.00 ,SOGEBEL
25/10/2022,$122.00 ,CAPITALBANK
25/10/2022,$118.00 ,BNC
25/10/2022,$123.75 ,SI
25/10/2022,$123.62 ,BRH
26/10/2022,$123.00 ,UNIBANK
26/10/2022,$119.00 ,Sogebank
26/10/2022,$121.00 ,BUH
26/10/2022,$118.00 ,SOGEBEL
26/10/2022,$122.00 ,CAPITALBANK
26/10/2022,$118.00 ,BNC
26/10/2022,$123.75 ,SI
26/10/2022,$125.62 ,BRH
27/10/2022,$119.00 ,Sogebank
27/10/2022,$121.00 ,BUH
27/10/2022,$119.00 ,SOGEBEL
27/10/2022,$122.00 ,CAPITALBANK
27/10/2022,$121.00 ,BNC
27/10/2022,$127.75 ,SI
27/10/2022,$125.62 ,BRH
27/10/2022,$123.00 ,UNIBANK
